city,country,iso3,region,headline,bench,n_total,n_malls,ultra_variety,lux_intensity,premium_tilt,coverage_ok,z_variety,z_intensity,z_tilt,CA_city
kl,Malaysia,MYS,SEA,1,0,6215,16,46,0.032824,0.4001,1,1.8875686460228578,1.8565505260277009,0.5734012960779775,1.5497213725380907
sg,Singapore,SGP,SEA,0,1,9158,59,54,0.027135,0.3374,1,1.9999352419353025,1.3351710445828249,0.4036383216080814,1.401431752647754
sydney,Australia,AUS,OCE,0,1,1055,8,15,0.028436,0.3231,1,1.117258669319181,1.4544037226211064,0.3649204502377543,1.030317630539402
bangkok,Thailand,THA,SEA,1,0,15965,25,52,0.025305,-0.3063,1,1.9734557040940002,1.1674571315850886,-1.3392073987471353,0.9034903566310428
jakarta,Indonesia,IDN,SEA,1,0,3578,12,18,0.019424,0.376,1,1.2401085385298287,0.6284814363174992,0.5081494988734401,0.8736306479520326
penang,Malaysia,MYS,SEA,0,0,666,2,5,0.030781,0.3988,1,0.4160973931862535,1.6693158133203918,0.5698814895897659,0.8305089433273731
hcmc,Vietnam,VNM,SEA,1,0,992,13,7,0.032762,0.0484,1,0.6217514643933287,1.8508684153141164,-0.37884173615587324,0.7403382495322646
hanoi,Vietnam,VNM,SEA,1,0,1197,13,5,0.022974,0.0,0,0.4160973931862535,0.9538280981437094,,0.6311896751692359
brisbane,Australia,AUS,OCE,0,1,1010,10,10,0.014851,0.3305,1,0.8494031415988562,0.20937994771714438,0.38495627178603553,0.5412844659811376
manila,Philippines,PHL,SEA,1,0,13400,56,28,0.008918,0.0538,1,1.5423944340943456,-0.3343613887940964,-0.3642210015125329,0.5027138283260935
pattaya,Thailand,THA,SEA,0,0,934,1,12,0.027302,-0.7275,1,0.9688243913484732,1.3504760847307058,-2.479624700927681,0.2212076262941044
danang,Vietnam,VNM,SEA,0,0,111,1,1,0.022523,0.0,0,-0.36926294545837574,0.9124953250497317,,0.14344036274486727
chiangmai,Thailand,THA,SEA,0,0,1784,2,12,0.019058,-0.7158,1,0.9688243913484732,0.5949386537179517,-2.447946442533777,0.002465961588754201
korat,Thailand,THA,SEA,0,0,602,1,6,0.017442,-0.5199,1,0.5262944402793692,0.44683718737678113,-1.9175386801948195,-0.10850101570995438
melbourne,Australia,AUS,OCE,0,1,1294,10,2,0.007728,0.2609,1,-0.0794098117395987,-0.44342125571612184,0.19651124749409352,-0.11963298012413259
khonkaen,Thailand,THA,SEA,0,0,410,1,1,0.009756,0.3561,1,-0.36926294545837574,-0.2575612472137121,0.4542693841692786,-0.12986935357806306
palembang,Indonesia,IDN,SEA,0,0,318,2,0,0.011006,0.5314,1,-0.864770150384228,-0.14300256347208884,0.9289017513873451,-0.199821898867693
medan,Indonesia,IDN,SEA,0,0,592,3,0,0.007601,0.5084,1,-0.864770150384228,-0.4550604179842707,0.8666282519805251,-0.30900763007305254
hatyai,Thailand,THA,SEA,0,0,466,1,0,0.009657,0.4034,1,-0.864770150384228,-0.2666342949660487,0.5823361894711299,-0.32355280879493475
davao,Philippines,PHL,SEA,0,0,968,3,1,0.005165,-0.2113,0,-0.36926294545837574,-0.6783123808599462,,-0.49288271961900393
auckland,New Zealand,NZL,OCE,0,1,145,2,0,0.003448,0.3701,1,-0.864770150384228,-0.83567018884744,0.49217499250386454,-0.5168038762011684
christchurch,New Zealand,NZL,OCE,0,1,116,1,0,0.00431,0.3284,1,-0.864770150384228,-0.7566705205392166,0.37927043053584764,-0.5213301162007057
cebu,Philippines,PHL,SEA,0,0,1824,7,1,0.004112,-0.165,0,-0.36926294545837574,-0.7748166160438896,,-0.5314844136925813
surabaya,Indonesia,IDN,SEA,0,0,328,2,0,0.0,0.4634,1,-0.864770150384228,-1.1516688620803337,0.7447887966193558,-0.5484500271421637
perth,Australia,AUS,OCE,0,1,803,8,0,0.003113,0.2988,1,-0.864770150384228,-0.8663719160901951,0.29912714434272286,-0.5742763564142804
bandung,Indonesia,IDN,SEA,0,0,186,2,0,0.0,0.3898,1,-0.864770150384228,-1.1516688620803337,0.545513598517532,-0.5982688266676197
iloilo,Philippines,PHL,SEA,0,0,559,3,0,0.000894,0.3506,1,-0.864770150384228,-1.0697364914683247,0.4393778951806912,-0.6002230413182272
adelaide,Australia,AUS,OCE,0,1,436,3,0,0.002294,0.2598,1,-0.864770150384228,-0.9414307656777066,0.1935329496963759,-0.6231925599521206
phuket,Thailand,THA,SEA,0,0,351,1,0,0.008547,0.4729,0,-0.864770150384228,-0.36836240612861015,,-0.6662070526819809
clark,Philippines,PHL,SEA,0,0,1628,5,0,0.003686,-0.1189,0,-0.864770150384228,-0.8138582154630349,,-0.8444053764157508
dhaka,Bangladesh,BGD,SA,0,0,701,1,0,0.002853,0.0,0,-0.864770150384228,-0.8902001223084527,,-0.8749421391539179
cdo,Philippines,PHL,SEA,0,0,637,3,0,0.000785,-0.1154,0,-0.864770150384228,-1.0797260086905944,,-0.9507524937067746
bacolod,Philippines,PHL,SEA,0,0,638,2,0,0.0,-0.1336,0,-0.864770150384228,-1.1516688620803337,,-0.9795296350626703
